id,account_id,occurred_at,channel
1,1001,06-10-2015 17:13,direct
2,1001,05-11-2015 03:08,direct
3,1001,04-12-2015 03:57,direct
4,1001,02-01-2016 00:55,direct
5,1001,01-02-2016 19:02,direct
6,1001,02-03-2016 15:15,direct
7,1001,01-04-2016 10:58,direct
8,1001,01-05-2016 15:26,direct
9,1001,31-05-2016 20:53,direct
10,1001,30-06-2016 12:09,direct
11,1001,30-07-2016 03:06,direct
12,1001,28-08-2016 06:42,direct
13,1001,26-09-2016 23:14,direct
14,1001,26-10-2016 20:21,direct
15,1001,25-11-2016 22:52,direct
16,1001,24-12-2016 05:35,direct
17,1011,21-12-2016 10:29,direct
18,1021,12-10-2015 02:10,direct
19,1021,11-11-2015 07:10,direct
20,1021,11-12-2015 16:28,direct
21,1021,10-01-2016 09:04,direct
22,1021,09-02-2016 00:46,direct
23,1021,10-03-2016 00:11,direct
24,1031,25-12-2016 03:51,direct
25,1041,14-10-2016 23:40,direct
26,1041,13-11-2016 09:43,direct
27,1041,12-12-2016 07:31,direct
28,1051,02-08-2016 19:48,direct
29,1051,01-09-2016 05:27,direct
30,1051,01-10-2016 00:17,direct
31,1051,31-10-2016 06:44,direct
32,1051,30-11-2016 07:18,direct
33,1051,30-12-2016 08:42,direct
34,1061,19-10-2016 15:42,direct
35,1061,17-11-2016 08:33,direct
36,1061,16-12-2016 21:18,direct
37,1071,13-12-2016 08:45,direct
38,1081,12-02-2015 22:34,direct
39,1081,13-03-2015 09:24,direct
40,1081,12-04-2015 04:19,direct
41,1081,12-05-2015 22:51,direct
42,1081,11-06-2015 13:41,direct
43,1081,11-07-2015 23:08,direct
44,1081,09-08-2015 18:23,direct
45,1081,07-09-2015 15:09,direct
46,1081,07-10-2015 06:12,direct
47,1081,06-11-2015 04:00,direct
48,1081,05-12-2015 21:37,direct
49,1081,03-01-2016 23:17,direct
50,1081,01-02-2016 19:35,direct
51,1081,02-03-2016 05:45,direct
52,1081,01-04-2016 08:17,direct
53,1081,30-04-2016 07:21,direct
54,1081,30-05-2016 04:01,direct
55,1081,28-06-2016 06:01,direct
56,1081,28-07-2016 22:20,direct
57,1081,26-08-2016 16:32,direct
58,1081,24-09-2016 09:33,direct
59,1081,24-10-2016 21:38,direct
60,1081,23-11-2016 04:22,direct
61,1081,23-12-2016 13:01,direct
62,1091,15-08-2014 05:21,direct
63,1091,13-09-2014 04:50,direct
64,1091,13-10-2014 12:10,direct
65,1091,12-11-2014 06:24,direct
66,1091,11-12-2014 10:20,direct
67,1091,09-01-2015 14:02,direct
68,1091,08-02-2015 09:32,direct
69,1091,09-03-2015 06:10,direct
70,1091,07-04-2015 13:16,direct
71,1091,06-05-2015 03:31,direct
72,1091,05-06-2015 18:54,direct
73,1091,05-07-2015 02:21,direct
74,1091,03-08-2015 11:32,direct
75,1091,01-09-2015 14:20,direct
76,1091,01-10-2015 15:25,direct
77,1091,31-10-2015 15:42,direct
78,1091,29-11-2015 21:06,direct
79,1091,28-12-2015 18:21,direct
80,1091,26-01-2016 06:20,direct
81,1091,25-02-2016 06:34,direct
82,1091,25-03-2016 22:13,direct
83,1091,24-04-2016 07:07,direct
84,1091,23-05-2016 07:18,direct
85,1091,22-06-2016 00:59,direct
86,1091,21-07-2016 18:39,direct
87,1091,20-08-2016 04:28,direct
88,1091,18-09-2016 20:49,direct
89,1091,17-10-2016 13:05,direct
90,1091,15-11-2016 18:04,direct
91,1091,14-12-2016 20:56,direct
92,1101,24-06-2015 12:50,direct
93,1101,24-07-2015 17:44,direct
94,1101,22-08-2015 19:17,direct
95,1101,21-09-2015 05:09,direct
96,1101,21-10-2015 16:16,direct
97,1101,20-11-2015 23:46,direct
98,1101,19-12-2015 18:29,direct
99,1101,17-01-2016 14:28,direct
100,1101,15-02-2016 07:42,direct
101,1101,15-03-2016 11:12,direct
102,1101,13-04-2016 23:47,direct
103,1101,13-05-2016 01:59,direct
104,1101,12-06-2016 12:25,direct
105,1111,15-11-2015 17:29,direct
106,1111,15-12-2015 21:57,direct
107,1121,26-08-2015 00:31,direct
108,1121,25-09-2015 13:51,direct
109,1121,24-10-2015 15:26,direct
110,1121,22-11-2015 17:24,direct
111,1121,21-12-2015 00:53,direct
112,1121,20-01-2016 15:14,direct
113,1121,19-02-2016 17:45,direct
114,1121,19-03-2016 07:15,direct
115,1121,18-04-2016 15:19,direct
116,1121,17-05-2016 13:08,direct
117,1121,16-06-2016 21:54,direct
118,1121,15-07-2016 03:22,direct
119,1121,13-08-2016 20:27,direct
120,1121,11-09-2016 22:54,direct
121,1121,10-10-2016 10:32,direct
122,1121,08-11-2016 02:28,direct
123,1121,07-12-2016 18:30,direct
124,1131,13-05-2016 06:37,direct
125,1131,12-06-2016 12:22,direct
126,1131,11-07-2016 23:51,direct
127,1131,10-08-2016 23:45,direct
128,1131,09-09-2016 16:42,direct
129,1131,09-10-2016 14:54,direct
130,1131,07-11-2016 04:55,direct
131,1131,07-12-2016 06:14,direct
132,1141,24-09-2016 03:05,direct
133,1141,23-10-2016 20:17,direct
134,1141,22-11-2016 20:35,direct
135,1141,21-12-2016 15:46,direct
136,1151,30-12-2016 04:31,direct
137,1161,06-03-2016 02:51,direct
138,1161,05-04-2016 21:34,direct
139,1161,05-05-2016 09:51,direct
140,1161,04-06-2016 08:56,direct
141,1161,03-07-2016 10:12,direct
142,1161,01-08-2016 17:32,direct
143,1161,31-08-2016 03:03,direct
144,1161,29-09-2016 07:40,direct
145,1161,28-10-2016 07:06,direct
146,1161,26-11-2016 12:47,direct
147,1161,25-12-2016 20:19,direct
148,1171,24-08-2016 20:21,direct
149,1171,23-09-2016 03:16,direct
150,1171,22-10-2016 17:44,direct
151,1171,20-11-2016 03:42,direct
152,1171,20-12-2016 18:00,direct
153,1181,17-12-2013 22:46,direct
154,1181,16-01-2014 12:14,direct
155,1181,14-02-2014 08:25,direct
156,1181,16-03-2014 04:28,direct
157,1181,14-04-2014 13:42,direct
158,1181,14-05-2014 05:23,direct
159,1181,13-06-2014 09:21,direct
160,1181,13-07-2014 15:16,direct
161,1181,12-08-2014 04:49,direct
162,1181,10-09-2014 19:05,direct
163,1181,10-10-2014 14:06,direct
164,1181,09-11-2014 21:36,direct
165,1181,09-12-2014 12:34,direct
166,1181,08-01-2015 06:56,direct
167,1181,06-02-2015 13:17,direct
168,1181,08-03-2015 06:03,direct
169,1181,06-04-2015 03:07,direct
170,1181,06-05-2015 13:25,direct
171,1181,05-06-2015 17:13,direct
172,1181,04-07-2015 20:45,direct
173,1181,03-08-2015 17:39,direct
174,1181,01-09-2015 08:50,direct
175,1181,01-10-2015 22:38,direct
176,1181,31-10-2015 08:42,direct
177,1181,29-11-2015 05:41,direct
178,1181,28-12-2015 11:09,direct
179,1181,26-01-2016 19:33,direct
180,1181,25-02-2016 17:02,direct
181,1181,25-03-2016 19:13,direct
182,1181,24-04-2016 16:35,direct
183,1181,23-05-2016 02:37,direct
184,1181,22-06-2016 05:21,direct
185,1181,21-07-2016 14:39,direct
186,1181,19-08-2016 22:21,direct
187,1181,18-09-2016 08:58,direct
188,1181,18-10-2016 09:36,direct
189,1181,17-11-2016 08:54,direct
190,1181,17-12-2016 21:55,direct
191,1191,24-01-2016 19:27,direct
192,1191,23-02-2016 10:10,direct
193,1191,23-03-2016 21:14,direct
194,1191,22-04-2016 02:48,direct
195,1191,21-05-2016 23:08,direct
196,1191,20-06-2016 21:11,direct
197,1191,19-07-2016 07:10,direct
198,1191,18-08-2016 16:02,direct
199,1191,17-09-2016 05:08,direct
200,1191,16-10-2016 19:03,direct
201,1191,15-11-2016 20:16,direct
202,1191,15-12-2016 20:19,direct
203,1201,12-11-2016 11:28,direct
204,1201,11-12-2016 05:36,direct
205,1211,22-11-2016 07:40,direct
206,1211,21-12-2016 23:18,direct
207,1221,20-01-2015 10:27,direct
208,1221,18-02-2015 15:26,direct
209,1221,19-03-2015 12:12,direct
210,1221,17-04-2015 11:27,direct
211,1221,16-05-2015 19:33,direct
212,1221,15-06-2015 08:11,direct
213,1221,15-07-2015 07:12,direct
214,1221,14-08-2015 09:40,direct
215,1221,12-09-2015 17:31,direct
216,1221,11-10-2015 13:06,direct
217,1221,09-11-2015 23:23,direct
218,1221,08-12-2015 16:32,direct
219,1221,06-01-2016 20:37,direct
220,1221,04-02-2016 20:02,direct
221,1221,04-03-2016 19:36,direct
222,1221,03-04-2016 19:06,direct
223,1221,03-05-2016 07:10,direct
224,1221,01-06-2016 21:28,direct
225,1221,30-06-2016 14:59,direct
226,1221,29-07-2016 22:44,direct
227,1221,27-08-2016 07:44,direct
228,1221,26-09-2016 18:06,direct
229,1221,26-10-2016 08:20,direct
230,1221,25-11-2016 07:58,direct
231,1221,24-12-2016 20:56,direct
232,1231,26-02-2016 03:06,direct
233,1231,27-03-2016 11:28,direct
234,1231,26-04-2016 16:58,direct
